name,artists,uri
Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo,"Preto no Branco, Gabriela Rocha",spotify:track:682XjN6L1Qhs5rXbuGSQKK
"Sonda-me, Usa-me",Aline Barros,spotify:track:44mL5VXSVj0Rm9GBiNPmUM
Santo Espírito (Holy Spirit) (feat. Leonardo Gonçalves) - Ao Vivo,"Paulo Cesar Baruk, Leonardo Gonçalves",spotify:track:06I10BV3eKbBeWMELGddHT
Holy Spirit - Live,"Jesus Culture, Kim Walker-Smith",spotify:track:5Xjcst6Rle74VteHx0zczO
Tu Podes - Ao Vivo,Régis Danese,spotify:track:09dKgkyHkkpACoFYIwD5Qn
Holy Spirit,Francesca Battistelli,spotify:track:0VqMBJyeeRA4I6mSPO5uqZ
Battle Belongs,Phil Wickham,spotify:track:3CwpNu67Qg1Mcl8WNtzUgo
Aquieta Minh'alma,Ministério Zoe,spotify:track:2pfh4FmcvPTqBYApHaV6p3
Vai Valer a Pena,Juliano Son,spotify:track:7fzImqefMkagp3jEeKtdVy
Pra Sempre - Acústico,"Fernandinho, Paula Santos",spotify:track:3uLESUUCo5sq0c03Q0WxFr
Deus é Deus,Delino Marçal,spotify:track:2zIUZPKNlGrnlxagZmKTFd
Santo Espírito,"Laura Souguellis, Dunamis Music",spotify:track:6GL7BYWdhMgce6fDWX8qVn
Sobre as Águas - Ao Vivo,Trazendo a Arca,spotify:track:78jqNs62Tfo3sIxCL2IIpI
Sou Humano,Bruna Karla,spotify:track:7HRyi2scNjqDmGDhwqj9Bp
Atos 2,Gabriela Rocha,spotify:track:0L3UFMmq5An0W3j1Q9cLG6
Me Ajude A Melhorar,Eli Soares,spotify:track:63ZKT26bj7ni15pl3MGMpU
Grandes Coisas - Ao Vivo,Fernandinho,spotify:track:6oUMdwHNYiBcf8oWrx2hj1
Eu Escolho Deus - Ao Vivo,Thalles Roberto,spotify:track:2MaKWxPGQ6zocvj2ciYREO
