name,uri
"Study Music: MPB, Bossa Nova, Rock Nacional",spotify:playlist:03XR4uXl9tUar3V61R5WrR
BR - Happy,spotify:playlist:59EbznjLcpE11y2uoEXklx
BR - Sad,spotify:playlist:0RQ0pvQ7NraWIBHOswmXUJ
Gospel 2.1,spotify:playlist:0T8NKdyKavL6k9Sr9xdFQB
Brazil 2.1,spotify:playlist:7tGOct5oNOmKVGXlxFjqBA
English 2.1,spotify:playlist:2pfOZ9vgqYA6NJskdyJZPt
English 2.0,spotify:playlist:1D6PG4gBUC94wCCR5Vo4Yx
Pagode 2.0,spotify:playlist:3Irms6Hm7ZatiJ2keVgCMq
Funk BR 2.0,spotify:playlist:6p7yQ6R65eG9pgXMjlc24c
Gospel 2.0,spotify:playlist:6zON0h4fivzv3Plmjcddfk
S&F 2.0,spotify:playlist:55KYNDku4bZCGK46EWztcn
PT-BR 2.0,spotify:playlist:7bWOmAlJ4ztL7usj2lTaRF
