name,artists,uri
Tudo Que Você Quiser - Ao Vivo,Luan Santana,spotify:track:4JSROzfWqKccwZ68DX1aJe
Poema,Ney Matogrosso,spotify:track:7qvL8BbYdxvhOinapMiEeF
Nada por Mim - Ao Vivo,Paula Toller,spotify:track:5D7q1wP8qMMgj0C4IS3qle
N,"Nando Reis, ANAVITÓRIA",spotify:track:6iIcwVfeRZx7eeLR9WtGO1
Sparks,Coldplay,spotify:track:7D0RhFcb3CrfPuTJ0obrod
Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",spotify:track:1Q7EgiMOuwDcB0PJC6AzON
Tudo Bem,Lulu Santos,spotify:track:3NuYcGFwCUEzPsdd6FVEaB
Beautiful Creatures,sanss,spotify:track:1dDMemJxR2diZvisWsChEu
Disritmia,Casuarina,spotify:track:5kunnyRXn1uwU3h1H2MYpI
LOUCO - Acústico,Peu Heise,spotify:track:0KNSKwfZkHZzWV4ax4oZMP
AZUL MARINHO - Acústico,Peu Heise,spotify:track:7dzTZwdcVCuKNDKBPWNNes
Todo Canto,Peu Heise,spotify:track:1kQlSjWfRrzWLRWLOf83Mz
LOUCO,Peu Heise,spotify:track:2wa7jTaIaVoaaWQ33IVCFx
Eu Tenho Medo,Marco Baptista,spotify:track:5JTDTMThIhZtH2GoVRPp7l
End of Time,Beyoncé,spotify:track:3FPUFltTjg6ClUL2wr9ux6
Rise Up,Andra Day,spotify:track:0tV8pOpiNsKqUys0ilUcXz
GOODBYE YESTERDAY,"ELEVATION RHYTHM, Gracie Binion",spotify:track:2Ek6vXzVHY9qWvkAy4OUQR
Praise The Lord,Phil Wickham,spotify:track:4X6bo9XBCBVyCrNv6TE8Kn
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)","Elevation Worship, Brandon Lake, Chris Brown, Chandler Moore",spotify:track:7Ee6XgP8EHKDhTMYLIndu9
Trust In God - Radio Version,Elevation Worship,spotify:track:7mqEjKUiNZUfsDD9QQHqaw
