name,artists,uri,file_name,downloaded,tempo,mfcc_mean,chroma_mean,zcr_mean,spectral_centroid_mean,rms_mean
Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo,"Preto no Branco, Gabriela Rocha",spotify:track:682XjN6L1Qhs5rXbuGSQKK,"Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo - Preto no Branco, Gabriela Rocha",False,93.75,-0.677595,0.35792765,0.03866354739361051,2130.188145229014,0.16559608
"Sonda-me, Usa-me",Aline Barros,spotify:track:44mL5VXSVj0Rm9GBiNPmUM,"Sonda-me, Usa-me - Aline Barros",False,122.28260869565217,2.2404842,0.43695027,0.04902594094579089,2662.152836352306,0.14356038
Santo Espírito (Holy Spirit) (feat. Leonardo Gonçalves) - Ao Vivo,"Paulo Cesar Baruk, Leonardo Gonçalves",spotify:track:06I10BV3eKbBeWMELGddHT,"Santo Espírito (Holy Spirit) (feat. Leonardo Gonçalves) - Ao Vivo - Paulo Cesar Baruk, Leonardo Gonçalves",False,137.1951219512195,2.6728492,0.38594362,0.03988448876984665,1902.9154462847066,0.16613725
Holy Spirit - Live,"Jesus Culture, Kim Walker-Smith",spotify:track:5Xjcst6Rle74VteHx0zczO,"Holy Spirit - Live - Jesus Culture, Kim Walker-Smith",False,144.23076923076923,2.835314,0.4074581,0.041195525933488436,2290.0217322710414,0.19233268
Tu Podes - Ao Vivo,Régis Danese,spotify:track:09dKgkyHkkpACoFYIwD5Qn,Tu Podes - Ao Vivo - Régis Danese,False,122.28260869565217,-2.5319793,0.38013363,0.04227822061271402,2073.5584673289045,0.13465536
Holy Spirit,Francesca Battistelli,spotify:track:0VqMBJyeeRA4I6mSPO5uqZ,Holy Spirit - Francesca Battistelli,False,144.23076923076923,2.3165777,0.43606612,0.05447613846990349,2729.583529273999,0.18155183
Battle Belongs,Phil Wickham,spotify:track:3CwpNu67Qg1Mcl8WNtzUgo,Battle Belongs - Phil Wickham,False,81.52173913043478,6.3762274,0.4651532,0.06333728096984514,2884.2320135199066,0.21372004
Aquieta Minh'alma,Ministério Zoe,spotify:track:2pfh4FmcvPTqBYApHaV6p3,Aquieta Minh'alma - Ministério Zoe,False,125.0,1.5334535,0.45381552,0.03631206486625321,2132.2691849843077,0.12918644
Vai Valer a Pena,Juliano Son,spotify:track:7fzImqefMkagp3jEeKtdVy,Vai Valer a Pena - Juliano Son,False,125.0,-0.07695981,0.3559243,0.04855573347053995,2372.4953868754956,0.20520544
Pra Sempre - Acústico,"Fernandinho, Paula Santos",spotify:track:3uLESUUCo5sq0c03Q0WxFr,"Pra Sempre - Acústico - Fernandinho, Paula Santos",False,144.23076923076923,2.3424122,0.41635135,0.04672550857313825,2538.228506405639,0.1443883
Deus é Deus,Delino Marçal,spotify:track:2zIUZPKNlGrnlxagZmKTFd,Deus é Deus - Delino Marçal,False,114.79591836734694,3.864339,0.42516264,0.03900387785039888,2112.323890973861,0.19146106
Santo Espírito,"Laura Souguellis, Dunamis Music",spotify:track:6GL7BYWdhMgce6fDWX8qVn,"Santo Espírito - Laura Souguellis, Dunamis Music",False,122.28260869565217,-4.3385234,0.3074329,0.04190254441332832,2003.1129103202566,0.186852
Sobre as Águas - Ao Vivo,Trazendo a Arca,spotify:track:78jqNs62Tfo3sIxCL2IIpI,Sobre as Águas - Ao Vivo - Trazendo a Arca,False,137.1951219512195,-0.7881131,0.38251534,0.047526475141975916,2251.666309460462,0.15613712
Sou Humano,Bruna Karla,spotify:track:7HRyi2scNjqDmGDhwqj9Bp,Sou Humano - Bruna Karla,False,119.68085106382979,2.0238588,0.39234957,0.05417219951746661,2558.064469228558,0.1449595
Atos 2,Gabriela Rocha,spotify:track:0L3UFMmq5An0W3j1Q9cLG6,Atos 2 - Gabriela Rocha,False,106.13207547169812,-0.44924673,0.34756365,0.05887069471032481,2720.106684596047,0.12734674
Me Ajude A Melhorar,Eli Soares,spotify:track:63ZKT26bj7ni15pl3MGMpU,Me Ajude A Melhorar - Eli Soares,False,130.8139534883721,6.6017394,0.46126097,0.048577207037991225,2643.5773830404823,0.19420716
