name,artists,uri,file_name,downloaded,tempo,mfcc_mean,chroma_mean,zcr_mean,spectral_centroid_mean,rms_mean,rms_scaled
Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo,"Preto no Branco, Gabriela Rocha",spotify:track:682XjN6L1Qhs5rXbuGSQKK,"Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo - Preto no Branco, Gabriela Rocha",False,,,,,,,0.0
"Sonda-me, Usa-me",Aline Barros,spotify:track:44mL5VXSVj0Rm9GBiNPmUM,"Sonda-me, Usa-me - Aline Barros",False,,,,,,,0.0
Santo Espírito (Holy Spirit) (feat. Leonardo Gonçalves) - Ao Vivo,"Paulo Cesar Baruk, Leonardo Gonçalves",spotify:track:06I10BV3eKbBeWMELGddHT,"Santo Espírito (Holy Spirit) (feat. Leonardo Gonçalves) - Ao Vivo - Paulo Cesar Baruk, Leonardo Gonçalves",False,,,,,,,0.0
Holy Spirit - Live,"Jesus Culture, Kim Walker-Smith",spotify:track:5Xjcst6Rle74VteHx0zczO,"Holy Spirit - Live - Jesus Culture, Kim Walker-Smith",False,,,,,,,0.0
Tu Podes - Ao Vivo,Régis Danese,spotify:track:09dKgkyHkkpACoFYIwD5Qn,Tu Podes - Ao Vivo - Régis Danese,False,,,,,,,0.0
Holy Spirit,Francesca Battistelli,spotify:track:0VqMBJyeeRA4I6mSPO5uqZ,Holy Spirit - Francesca Battistelli,False,,,,,,,0.0
Battle Belongs,Phil Wickham,spotify:track:3CwpNu67Qg1Mcl8WNtzUgo,Battle Belongs - Phil Wickham,False,,,,,,,0.0
Aquieta Minh'alma,Ministério Zoe,spotify:track:2pfh4FmcvPTqBYApHaV6p3,Aquieta Minh'alma - Ministério Zoe,False,,,,,,,0.0
Vai Valer a Pena,Juliano Son,spotify:track:7fzImqefMkagp3jEeKtdVy,Vai Valer a Pena - Juliano Son,False,,,,,,,0.0
Pra Sempre - Acústico,"Fernandinho, Paula Santos",spotify:track:3uLESUUCo5sq0c03Q0WxFr,"Pra Sempre - Acústico - Fernandinho, Paula Santos",False,,,,,,,0.0
Deus é Deus,Delino Marçal,spotify:track:2zIUZPKNlGrnlxagZmKTFd,Deus é Deus - Delino Marçal,False,,,,,,,0.0
Santo Espírito,"Laura Souguellis, Dunamis Music",spotify:track:6GL7BYWdhMgce6fDWX8qVn,"Santo Espírito - Laura Souguellis, Dunamis Music",False,,,,,,,0.0
Sobre as Águas - Ao Vivo,Trazendo a Arca,spotify:track:78jqNs62Tfo3sIxCL2IIpI,Sobre as Águas - Ao Vivo - Trazendo a Arca,False,,,,,,,0.0
Sou Humano,Bruna Karla,spotify:track:7HRyi2scNjqDmGDhwqj9Bp,Sou Humano - Bruna Karla,False,,,,,,,0.0
Atos 2,Gabriela Rocha,spotify:track:0L3UFMmq5An0W3j1Q9cLG6,Atos 2 - Gabriela Rocha,False,,,,,,,0.0
Me Ajude A Melhorar,Eli Soares,spotify:track:63ZKT26bj7ni15pl3MGMpU,Me Ajude A Melhorar - Eli Soares,False,,,,,,,0.0
Grandes Coisas - Ao Vivo,Fernandinho,spotify:track:6oUMdwHNYiBcf8oWrx2hj1,Grandes Coisas - Ao Vivo - Fernandinho,False,,,,,,,0.0
Eu Escolho Deus - Ao Vivo,Thalles Roberto,spotify:track:2MaKWxPGQ6zocvj2ciYREO,Eu Escolho Deus - Ao Vivo - Thalles Roberto,False,,,,,,,0.0
Acalma o Meu Coração,Anderson Freire,spotify:track:3VYgop8eTvEitSxxKc6jGp,Acalma o Meu Coração - Anderson Freire,False,,,,,,,0.0
Tua Graça Me Basta (feat. Verônica Sacer),Davi Sacer,spotify:track:5cjhrr4fjxrWEKEECV6d3B,Tua Graça Me Basta (feat. Verônica Sacer) - Davi Sacer,False,,,,,,,0.0
Raridade,Anderson Freire,spotify:track:3Gam4UbOwnwQQQKuItui39,Raridade - Anderson Freire,False,,,,,,,0.0
Quando Eu Chorar,Bruna Karla,spotify:track:3cq63zWjxoePzdCylIM52x,Quando Eu Chorar - Bruna Karla,False,,,,,,,0.0
Ressuscita-me,Aline Barros,spotify:track:7b07ZOEHDdp6jJbstnf0iB,Ressuscita-me - Aline Barros,False,,,,,,,0.0
Deus de Promessas,Davi Sacer,spotify:track:4qL8V4pTMJX0HMfyTFWuin,Deus de Promessas - Davi Sacer,False,,,,,,,0.0
Espírito Santo,Fernanda Brum,spotify:track:4qO3WITv7447OvVUAdJjzM,Espírito Santo - Fernanda Brum,False,,,,,,,0.0
Marca da Promessa - Ao Vivo,Trazendo a Arca,spotify:track:0RoDyiqHn62BlyqO4Knktr,Marca da Promessa - Ao Vivo - Trazendo a Arca,False,,,,,,,0.0
Vou Deixar na Cruz,Kleber Lucas,spotify:track:3CbPjnoNaOh07rbJxI9IBW,Vou Deixar na Cruz - Kleber Lucas,False,,,,,,,0.0
Deus Cuida de Mim,Kleber Lucas,spotify:track:449TmbIw140iAdtYpUWB4h,Deus Cuida de Mim - Kleber Lucas,False,,,,,,,0.0
Advogado Fiel,Bruna Karla,spotify:track:061NRgs8Iza1oxHTpHi3qq,Advogado Fiel - Bruna Karla,False,,,,,,,0.0
Meu Barquinho,Giselli Cristina,spotify:track:6uyh29cLTff8ei3LGHicJt,Meu Barquinho - Giselli Cristina,False,,,,,,,0.0
Caia Fogo - Ao Vivo,Fernandinho,spotify:track:2QOrs9ioPmQp4SPSi3MNQe,Caia Fogo - Ao Vivo - Fernandinho,False,,,,,,,0.0
O Que Sua Glória Fez Comigo,Fernanda Brum,spotify:track:0Y9nHU2Fhl76LHbRRmNQ6X,O Que Sua Glória Fez Comigo - Fernanda Brum,False,,,,,,,0.0
Deus de Promessas,Toque no Altar,spotify:track:6xzbFFuCMO6xUZK9b0eO8k,Deus de Promessas - Toque no Altar,False,,,,,,,0.0
Ele Não Desiste de Você,Marquinhos Gomes,spotify:track:344vyXHCBYXPGV4jO8Jo8X,Ele Não Desiste de Você - Marquinhos Gomes,False,,,,,,,0.0
Restitui - Ao Vivo,Trazendo a Arca,spotify:track:3i4qQdnaQFdyCs3Art3LzD,Restitui - Ao Vivo - Trazendo a Arca,False,,,,,,,0.0
Conquistando o Impossível,Jamily,spotify:track:2diKs21Dq3e6K2gfhMJLCO,Conquistando o Impossível - Jamily,False,,,,,,,0.0
"Faz Um Milagre Em Mim (Como Zaqueu, Eu Quero Subir) - Ao Vivo",Régis Danese,spotify:track:7AA38Hs4o0EHdCiogPAuw3,"Faz Um Milagre Em Mim (Como Zaqueu, Eu Quero Subir) - Ao Vivo - Régis Danese",False,,,,,,,0.0
Que Ele Cresça (Humildade) - Ao Vivo,Deigma Marques,spotify:track:2M1KjQKBnUQ38LU3fNTbqy,Que Ele Cresça (Humildade) - Ao Vivo - Deigma Marques,False,,,,,,,0.0
Sabor de Mel,Damares,spotify:track:50yPQZWDucOc6n1qdofN7T,Sabor de Mel - Damares,False,,,,,,,0.0
Ele Não Desiste de Você - Ao Vivo,Marquinhos Gomes,spotify:track:5fQYoR7st5kgsDw174m7UB,Ele Não Desiste de Você - Ao Vivo - Marquinhos Gomes,False,,,,,,,0.0
O Maior Troféu,Damares,spotify:track:1s6kINRA4Py3YlYtPWhFew,O Maior Troféu - Damares,False,,,,,,,0.0
