name,artists,uri,file_name,downloaded,tempo,mfcc_mean,chroma_mean,zcr_mean,spectral_centroid_mean,rms_mean,rms_scaled,cluster,mood
Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo,"Preto no Branco, Gabriela Rocha",spotify:track:682XjN6L1Qhs5rXbuGSQKK,"Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo - Preto no Branco, Gabriela Rocha",False,93.75,-0.6776,0.3579,0.0387,2130.1881,0.1656,-0.1395851698600843,0,Sad
"Sonda-me, Usa-me",Aline Barros,spotify:track:44mL5VXSVj0Rm9GBiNPmUM,"Sonda-me, Usa-me - Aline Barros",False,122.2826,2.2405,0.437,0.049,2662.1528,0.1436,-0.6049775524665681,1,Sad
Santo Espírito (Holy Spirit) (feat. Leonardo Gonçalves) - Ao Vivo,"Paulo Cesar Baruk, Leonardo Gonçalves",spotify:track:06I10BV3eKbBeWMELGddHT,"Santo Espírito (Holy Spirit) (feat. Leonardo Gonçalves) - Ao Vivo - Paulo Cesar Baruk, Leonardo Gonçalves",False,137.1951,2.6728,0.3859,0.0399,1902.9154,0.1661,-0.1290080702553915,0,Sad
Holy Spirit - Live,"Jesus Culture, Kim Walker-Smith",spotify:track:5Xjcst6Rle74VteHx0zczO,"Holy Spirit - Live - Jesus Culture, Kim Walker-Smith",False,144.2308,2.8353,0.4075,0.0412,2290.0217,0.1923,0.4252319490305122,0,Sad
Tu Podes - Ao Vivo,Régis Danese,spotify:track:09dKgkyHkkpACoFYIwD5Qn,Tu Podes - Ao Vivo - Régis Danese,False,122.2826,-2.532,0.3801,0.0423,2073.5585,0.1347,-0.7932499254301008,0,Sad
Holy Spirit,Francesca Battistelli,spotify:track:0VqMBJyeeRA4I6mSPO5uqZ,Holy Spirit - Francesca Battistelli,False,144.2308,2.3166,0.4361,0.0545,2729.5835,0.1816,0.1988820174900861,1,Sad
Battle Belongs,Phil Wickham,spotify:track:3CwpNu67Qg1Mcl8WNtzUgo,Battle Belongs - Phil Wickham,False,81.5217,6.3762,0.4652,0.0633,2884.232,0.2137,0.877931812111365,1,Happy
Aquieta Minh'alma,Ministério Zoe,spotify:track:2pfh4FmcvPTqBYApHaV6p3,Aquieta Minh'alma - Ministério Zoe,False,125.0,1.5335,0.4538,0.0363,2132.2692,0.1292,-0.9095980210817212,0,Sad
Vai Valer a Pena,Juliano Son,spotify:track:7fzImqefMkagp3jEeKtdVy,Vai Valer a Pena - Juliano Son,False,125.0,-0.077,0.3559,0.0486,2372.4954,0.2052,0.6981211188315869,0,Sad
Pra Sempre - Acústico,"Fernandinho, Paula Santos",spotify:track:3uLESUUCo5sq0c03Q0WxFr,"Pra Sempre - Acústico - Fernandinho, Paula Santos",False,144.2308,2.3424,0.4164,0.0467,2538.2285,0.1444,-0.5880541930990598,0,Happy
